24-10-06 13:04:40.885 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-10-06 13:04:40.915 [main] INFO  d.b.flow_sync.FlowSyncApplication - Starting FlowSyncApplication using Java 22.0.2 with PID 42224 (C:\Spring Projects\flow-sync\target\classes started by Emre Özkaplan in C:\Spring Projects\flow-sync) 
24-10-06 13:04:40.916 [main] INFO  d.b.flow_sync.FlowSyncApplication - No active profile set, falling back to 1 default profile: "default" 
24-10-06 13:04:42.334 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
24-10-06 13:04:42.411 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 68 ms. Found 5 JPA repository interfaces. 
24-10-06 13:04:42.979 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
24-10-06 13:04:42.987 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
24-10-06 13:04:42.988 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-10-06 13:04:42.988 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19] 
24-10-06 13:04:43.041 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-10-06 13:04:43.041 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2063 ms 
24-10-06 13:04:43.126 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
24-10-06 13:04:43.214 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7c4b5ceb 
24-10-06 13:04:43.215 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
24-10-06 13:04:43.271 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate 
24-10-06 13:04:43.271 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi 
24-10-06 13:04:43.271 [main] INFO  o.f.c.i.license.VersionPrinter -  
24-10-06 13:04:43.282 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/pts-test (PostgreSQL 16.3) 
24-10-06 13:04:43.286 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 16.3 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15. 
24-10-06 13:04:43.325 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.032s) 
24-10-06 13:04:43.356 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2 
24-10-06 13:04:43.358 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary. 
24-10-06 13:04:43.418 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
24-10-06 13:04:43.462 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final 
24-10-06 13:04:43.489 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled 
24-10-06 13:04:43.679 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
24-10-06 13:04:43.722 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
24-10-06 13:04:44.492 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
24-10-06 13:04:44.525 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
24-10-06 13:04:44.693 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. 
24-10-06 13:04:45.325 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
24-10-06 13:04:45.478 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3938e876, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@70b2819f, org.springframework.security.web.context.SecurityContextHolderFilter@674f22ce, org.springframework.security.web.header.HeaderWriterFilter@7000df03, org.springframework.web.filter.CorsFilter@65dac812, org.springframework.security.web.authentication.logout.LogoutFilter@5f05cd7e, dev.buddly.flow_sync.security.JwtAuthenticationFilter@54a2ff94, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53eb4dae, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@23df16cf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3619ecd, org.springframework.security.web.session.SessionManagementFilter@7479b19a, org.springframework.security.web.access.ExceptionTranslationFilter@4460edf, org.springframework.security.web.access.intercept.AuthorizationFilter@28ec35e3] 
24-10-06 13:04:45.744 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
24-10-06 13:04:45.763 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '' 
24-10-06 13:04:45.769 [main] INFO  d.b.flow_sync.FlowSyncApplication - Started FlowSyncApplication in 5.209 seconds (process running for 6.08) 
24-10-06 13:04:49.734 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
